contract_id,agency,vendor_clean,n_items,n_awards,n_changes,first_item_date,last_item_date,original_approved_usd,later_approved_usd,total_approved_usd,growth_usd,growth_pct,months_to_first_change,in_growth_analysis,exclusion_reason,multi_vendor
E00P4600214,COMP,knot technology solutions,1,1,0,2024-01-03,2024-01-03,824971.0,0,824971.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
E00P4600234,COMP,applied technology services,1,1,0,2024-01-31,2024-01-31,518718.0,0,518718.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
E00P4600481,COMP,angarai international,1,1,0,2024-05-01,2024-05-01,455716.8,0,455716.8,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",1
E00P4600502,COMP,ost,2,1,1,2024-05-15,2025-05-21,210960.0,474081.0,685041.0,474081.0,224.73,12,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
E00P460090,COMP,cas severn,1,1,0,2023-09-20,2023-09-20,1563967.0,0,1563967.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
E00P460091,COMP,cas severn,1,1,0,2023-09-20,2023-09-20,1007362.04,0,1007362.04,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
E00P5600234,COMP,applied technology services,1,1,0,2024-11-20,2024-11-20,295339.0,0,295339.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
E00P5600235,COMP,cas severn,1,1,0,2024-10-30,2024-10-30,1883095.94,0,1883095.94,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
E00P5600340,SUP,applied technology services,1,1,0,2025-05-07,2025-05-07,1783622.0,0,1783622.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",1
E00P6600245,COMP,cas severn,1,1,0,2025-11-19,2025-11-19,253989.0,0,253989.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
E20B4600001,TREAS,a and t systems,1,1,0,2023-08-23,2023-08-23,10006341.0,0,10006341.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
E20B6600001,TREAS,a and t systems,1,0,1,2025-08-27,2025-08-27,,6993115.0,6993115.0,,,,0,no original award inside the window - only later changes were captured,0
E20B6600006,TREAS,a and t systems,1,1,0,2026-01-07,2026-01-07,6113589.0,0,6113589.0,0.0,0.0,,0,"awarded in 2026, after the 2022 cutoff - not enough time to have been modified",0
E20B8400002,TREAS,a and t systems,1,0,1,2019-06-05,2019-06-05,,1308947.0,1308947.0,,,,0,no original award inside the window - only later changes were captured,0
E50B3600020,DAAT,marshall and swift boeckh,1,1,0,2024-01-03,2024-01-03,301899.0,0,301899.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
E50B8400001,DAAT,manatron a thomas reuter business,1,0,1,2017-09-20,2017-09-20,,1460688.0,1460688.0,,,,0,no original award inside the window - only later changes were captured,0
E75P4600044,LOTT,hcgi,1,1,0,2024-06-05,2024-06-05,219552.0,0,219552.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F10B1600033,DBM,milliman,1,0,1,2026-05-20,2026-05-20,,823680.0,823680.0,,,,0,no original award inside the window - only later changes were captured,0
F10B1600040,DBM,blue collar objects,1,0,1,2021-05-19,2021-05-19,,623959.0,623959.0,,,,0,no original award inside the window - only later changes were captured,0
F10B4600010,DBM/OPSB,carahsoft technology,1,1,0,2023-11-29,2023-11-29,547745.0,0,547745.0,0.0,0.0,,0,"awarded in 2023, after the 2022 cutoff - not enough time to have been modified",0
F10B4600013,DBM,performa software usa,1,1,0,2024-04-03,2024-04-03,4031318.0,0,4031318.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F10B4600022,DBM/OPSB,cornerstone ondemand,1,1,0,2024-04-03,2024-04-03,317616.0,0,317616.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F10B5600008,DBM,snap,1,1,0,2024-12-18,2024-12-18,216731.0,0,216731.0,0.0,0.0,,0,"awarded in 2024, after the 2022 cutoff - not enough time to have been modified",0
F10B5600009,DBM,forsys,1,1,0,2025-01-29,2025-01-29,1470200.0,0,1470200.0,0.0,0.0,,0,"awarded in 2025, after the 2022 cutoff - not enough time to have been modified",0
F10B6600035,DBM,ron turley associates dba rta fleet success,1,1,0,2026-08-19,2026-08-19,1850114.0,0,1850114.0,0.0,0.0,,0,"awarded in 2026, after the 2022 cutoff - not enough time to have been modified",0
