contract_id,vendor,agency,first_item_date,original_approved_usd,total_approved_usd,growth_usd,growth_pct,n_changes,months_to_first_change
E00B3600004,recovery point systems,COMP,2022-08-10,1738213.0,1738213.0,0.0,0.0,0,
E00B9400053,recovery point systems,COMP,2019-05-22,1738212.0,1738212.0,0.0,0.0,0,
J01B3400033,icf,DOT,2020-12-02,1713994.0,1713994.0,0.0,0.0,0,
P00B0600010,state regulatory registry,MDL,2019-09-18,1675370.0,1675370.0,0.0,0.0,0,
F50P1600059,environmental systems research institute,DIT,2020-10-07,832877.0,1665754.0,832877.0,100.0,0,
001B1600464,cr software a wholly owned subsidiary of fico,DGS,2021-06-16,1649167.0,1649167.0,0.0,0.0,0,
R00B9400116,eduloka dba inlumon,EDUC,2020-02-19,1533476.0,1533476.0,0.0,0.0,0,
Q00B1600038,global shop solutions,PS,2021-01-27,1495980.0,1495980.0,0.0,0.0,0,
Q00B6400088,tecore networks,PS,2016-03-09,520000.0,1492400.0,972400.0,187.0,0,
M00B3600008,iscan a division of humanim,MDH,2022-07-06,1427928.0,1427928.0,0.0,0.0,0,
W00R3600016,softtech dba flight vector,MSP,2022-12-07,1400000.0,1400000.0,0.0,0.0,0,
D38B1600010,vivsoft technologies,ELECTLAW,2020-12-02,1399960.0,1399960.0,0.0,0.0,0,
Q00B1600144,disys solutions,PS,2022-07-06,1389519.0,1389519.0,0.0,0.0,0,
Q00B9400087,watch systems,PS,2018-12-19,1389146.0,1389146.0,0.0,0.0,0,
C80B1600029,hartman executive advisors,DEFENDER,2021-06-16,1371825.0,1371825.0,0.0,0.0,0,
V00B1600065,fei com,DJS,2021-06-02,1358750.0,1358750.0,0.0,0.0,0,
F50B7400022,cornerstone ondemand,DIT,2017-03-22,1310366.0,1310366.0,0.0,0.0,0,
R60B8400002,rolka loube,Maryland 529,2017-09-20,1259474.0,1259474.0,0.0,0.0,0,
J05B060002,arinc,DOT,2019-07-24,1243702.0,1243702.0,0.0,0.0,0,
M00B8400705,st paul group,MDH,2018-07-19,1230200.0,1230200.0,0.0,0.0,0,
J01B3400025,applied technology services,DOT,2020-12-02,1223453.0,1223453.0,0.0,0.0,0,
P00B2600049,elegant enterprise wide solution,MDL,2022-08-31,1222957.0,1222957.0,0.0,0.0,0,
C81B3600001,nexpoint,ATTYGEN,2022-09-14,1200000.0,1200000.0,0.0,0.0,0,
P00B1600010,csdg government solutions,MDL,2020-09-02,1186572.0,1186572.0,0.0,0.0,0,
J05B2600005,unify,DOT/MTA,2021-11-03,1167955.0,1167955.0,0.0,0.0,0,
N00B0600352,cdw government,DOHR/OTHS,2020-07-01,1110724.0,1110724.0,0.0,0.0,0,
J01P2600058,mythics,DOT,2022-08-31,1094340.0,1094340.0,0.0,0.0,0,
M00B3600205,3m health information systems,MDH,2022-10-12,1084121.0,1084121.0,0.0,0.0,0,
F50P3600006,environmental systems research institute,DIT,2022-10-26,1075000.0,1075000.0,0.0,0.0,0,
E00B1600035,pitney bowes software,COMP,2021-03-24,1074291.0,1074291.0,0.0,0.0,0,
P219047,dk consulting,DOT/MPA,2020-07-22,1058554.0,1058554.0,0.0,0.0,0,
N00B2600301,cdw government,DOHR/OTHS,2022-03-23,1056426.0,1056426.0,0.0,0.0,0,
N00B1600515,cdw government,DOHR/OTHS,2021-09-01,1044445.0,1044445.0,0.0,0.0,0,
J05B8400008,swiftly,DOT/MTA,2018-01-03,1043000.0,1043000.0,0.0,0.0,0,
J01B0600010,nec of america necam,DOT/MdTA,2020-11-18,1029470.0,1029470.0,0.0,0.0,0,
D38B9400015,elections systems and software es and s,ELECTLAW,2019-07-24,1020845.0,1020845.0,0.0,0.0,0,
N00B1600170,gioia p ambrette trading as newcastle communications,DOHR/OTHS,2020-12-02,1015056.0,1015056.0,0.0,0.0,0,
F50P2600134,environmental systems research institute,DIT,2021-10-20,1000000.0,1000000.0,0.0,0.0,0,
F50P1600083,cooper river government,DIT,2020-11-18,999172.0,999172.0,0.0,0.0,0,
R00B2600015,canton group,EDUC,2022-03-09,998000.0,998000.0,0.0,0.0,0,
E00B0600021,telaforce,COMP,2020-03-04,986770.0,986770.0,0.0,0.0,0,
J05B1600015,nec of america,DOT/MTA,2021-07-07,970030.0,970030.0,0.0,0.0,0,
J05B26000012,harsco rail,DOT/MTA,2022-05-11,965025.0,965025.0,0.0,0.0,0,
R00B9400034,micropact,EDUC/DORS,2018-10-03,964700.0,964700.0,0.0,0.0,0,
R15P7400085,digital video group,MPT,2016-12-07,951417.0,951417.0,0.0,0.0,0,
Q00B8400125,dataworks plus,PS/IT&CD,2018-04-04,947762.0,947762.0,0.0,0.0,0,
Q00B8400101,ibm,PS,2018-03-28,938607.0,938607.0,0.0,0.0,0,
J05B9400005,xenatech software integration services,DOT/MdTA,2018-10-17,934713.0,934713.0,0.0,0.0,0,
060B6400047,franwell,DIT,2016-08-17,930000.0,930000.0,0.0,0.0,0,
E50B2600007,international business machines,DAAT,2022-06-08,917000.0,917000.0,0.0,0.0,0,
J01P1600035,disys solutions,DOT,2021-10-20,914026.38,914026.38,0.0,0.0,0,
R95B8400003,regent education,BCCC,2017-12-20,912900.0,912900.0,0.0,0.0,0,
M00B8400283,software technology group,HMH,2017-09-06,409584.0,908544.0,498960.0,121.82,0,
S00B0600047,emphasys computer solutions,HCD,2020-01-08,900000.0,900000.0,0.0,0.0,0,
P218035,client network services,DOT/MPA,2018-12-19,897907.0,897907.0,0.0,0.0,0,
S00B1600031,hancock software,HCD,2021-03-10,896621.0,896621.0,0.0,0.0,0,
P00B1600039,system automation,MDL,2020-12-16,888660.0,888660.0,0.0,0.0,0,
D80B2600003,merp systems,MIA,2021-10-06,883217.0,883217.0,0.0,0.0,0,
P219031,krishna tech,DOT/MPA,2019-09-18,859200.0,859200.0,0.0,0.0,0,
060B5400007,applied technology services,DIT,2020-04-22,442000.0,832975.0,390975.0,88.46,0,
J04B2600019,thales dis usa,DOT/MVA,2022-08-10,822222.0,822222.0,0.0,0.0,0,
COJ76820,nec of america,MDL,2022-12-07,811850.0,811850.0,0.0,0.0,0,
D38B8400001,elections systems and software,ELECTLAW,2017-09-20,797644.0,797644.0,0.0,0.0,0,
060B6400030,govdelivery,DIT,2017-03-22,791961.0,791961.0,0.0,0.0,0,
D38B0600003,clear ballot group,ELECTLAW,2019-08-14,791000.0,791000.0,0.0,0.0,0,
S00B7400002,hancock software,HCD,2016-08-17,787850.0,787850.0,0.0,0.0,0,
E00B2600022,levi ray and shoup,COMP,2022-05-11,771943.0,771943.0,0.0,0.0,0,
N00B9400299,cdw government,DOHR/OTHS,2019-03-20,770000.0,770000.0,0.0,0.0,0,
P00B8400048,state regulatory registry,DLLR,2018-06-20,759946.0,759946.0,0.0,0.0,0,
E00B6400072,pitney bowes software,COMP,2016-03-09,728610.0,728610.0,0.0,0.0,0,
R95B9400007,hartman executive advisors,BCCC,2019-07-03,725000.0,725000.0,0.0,0.0,0,
J04B260005,opex,DOT/MVA,2021-10-20,707334.0,707334.0,0.0,0.0,0,
D38B8400003,clear ballot group,ELECTLAW,2017-11-01,704000.0,704000.0,0.0,0.0,0,
E00B7400043,levi ray and shoup,DIT,2017-05-24,699755.0,699755.0,0.0,0.0,0,
E00B2600037,asg technologies group,COMP,2022-07-06,699612.0,699612.0,0.0,0.0,0,
S00B9400093,hancock software,HCD,2019-05-22,698736.0,698736.0,0.0,0.0,0,
J05B9400012,p and c insurance systems,DOT/MTA,2019-01-02,692260.0,692260.0,0.0,0.0,0,
Q00B2600014,applied technology services,PS,2022-04-06,689700.0,689700.0,0.0,0.0,0,
R15P3600241,digital video group,MPT,2022-12-21,680128.0,680128.0,0.0,0.0,0,
V00B1600001,fei com dba fei systems,DJS,2020-06-17,675000.0,675000.0,0.0,0.0,0,
J05B7400013,xerox transport solutions,DOT/MTA,2017-03-22,670000.0,670000.0,0.0,0.0,0,
V00B1600002,national council on crime and delinquency,DJS,2020-06-17,665400.0,665400.0,0.0,0.0,0,
Q00B0600104,datamaxx applied technologies,PS,2020-09-23,650477.0,650477.0,0.0,0.0,0,
J05B2600001,remix technologies,DOT/MTA,2021-07-07,645000.0,645000.0,0.0,0.0,0,
J01B1600006,insight public sector,DOT/MdTA,2022-05-11,638827.0,638827.0,0.0,0.0,0,
Q00B7400045,compuware,PS,2016-12-21,633228.0,633228.0,0.0,0.0,0,
Q00B0600035,compuware,PS,2020-02-19,633228.0,633228.0,0.0,0.0,0,
R00B2600109,howard technology solutions dba howard technology solutions,EDUC,2022-07-27,625269.0,625269.0,0.0,0.0,0,
D53B6400007,imagetrend,MIEMSS,2016-05-25,624269.0,624269.0,0.0,0.0,0,
F50P1600160,prosys information systems,DIT,2020-12-02,616466.0,616466.0,0.0,0.0,0,
S00B1600108,agate software,HCD,2021-09-01,615360.0,615360.0,0.0,0.0,0,
F50B7400027,sk net,DIT,2017-06-07,611673.0,611673.0,0.0,0.0,0,
R62B0600005,interclypse,DGS,2019-10-30,604273.0,604273.0,0.0,0.0,0,
P218007,syscom,DOT/MPA,2018-05-16,600000.0,600000.0,0.0,0.0,0,
Q00B3600014,ibm,PS,2022-12-21,596034.0,596034.0,0.0,0.0,0,
J01B0600037,maryland control technologies,DOT/MdTA,2020-08-12,594940.0,594940.0,0.0,0.0,0,
F50B7400026,navigator management partners,DIT,2017-06-07,588973.0,588973.0,0.0,0.0,0,
M00B7400506,oz systems usa,HMH,2017-03-08,588110.0,588110.0,0.0,0.0,0,
Q00B6400029,ibm,PS,2016-02-10,587876.0,587876.0,0.0,0.0,0,
V00B8400055,national council on crime and delinquency,DJS,2017-06-21,574782.0,574782.0,0.0,0.0,0,
F50B0600047,centurylink communications,DIT,2020-05-20,570000.0,570000.0,0.0,0.0,0,
F50B7400002,sk net,DIT,2016-06-22,563040.0,563040.0,0.0,0.0,0,
F50B7400025,elicitek,DIT,2017-06-07,560742.0,560742.0,0.0,0.0,0,
Q00B1600778,applied technology services,PS,2020-12-16,560700.0,560700.0,0.0,0.0,0,
J04B2600010,j d power,DOT/MVA,2022-04-06,560000.0,560000.0,0.0,0.0,0,
F10B9400025,business solutions group,DIT,2018-10-17,536227.0,536227.0,0.0,0.0,0,
E00B260024,sas institute,COMP,2022-05-11,524757.0,524757.0,0.0,0.0,0,
Q00B9400213,tecore networks,PS,2019-04-03,520000.0,520000.0,0.0,0.0,0,
P217042,noovis,DOT/MPA,2018-01-24,519097.0,519097.0,0.0,0.0,0,
J01B2600018,leidos digital solutions,DOT,2022-04-27,516201.0,516201.0,0.0,0.0,0,
Q00B0600080,ibm,PS,2020-07-01,515458.0,515458.0,0.0,0.0,0,
J01B7400018,leidos digital solutions,DOT,2017-04-05,508000.0,508000.0,0.0,0.0,0,
F50P1600058,environmental systems research institute,DIT,2020-10-07,241507.0,483014.0,241507.0,100.0,0,
Q00B6400144,ibm,PS/IT&CD,2017-02-22,467584.0,467584.0,0.0,0.0,0,
J01B0600040,citilog,DOT/MTA,2020-09-23,466882.0,466882.0,0.0,0.0,0,
060B9400160,snap,DIT,2019-07-03,466258.0,466258.0,0.0,0.0,0,
S00B8400006,hancock software,HCD,2017-12-06,466057.0,466057.0,0.0,0.0,0,
MAP6603187,knot technology solutions,DOT/MAA,2016-05-11,458951.0,458951.0,0.0,0.0,0,
E00B1600031,ibm,COMP,2021-03-10,452416.0,452416.0,0.0,0.0,0,
F50P2600041,ats,DIT,2021-10-20,451956.0,451956.0,0.0,0.0,0,
E00B9400017,ibm,COMP,2018-12-19,441642.0,441642.0,0.0,0.0,0,
F50B8400023,equinix,DIT,2018-05-16,441384.0,441384.0,0.0,0.0,0,
E00B1600001,proquire,COMP,2020-09-02,439448.0,439448.0,0.0,0.0,0,
S00B7400001,agate software,HCD,2016-08-17,438375.0,438375.0,0.0,0.0,0,
J05P8400052,s and a systems,DOT/MTA,2018-03-28,429654.0,429654.0,0.0,0.0,0,
P00B2600040,literacypro systems,MDL,2022-04-27,426655.0,426655.0,0.0,0.0,0,
V00B7400112,behavioral interventions,DJS,2017-05-24,424626.0,424626.0,0.0,0.0,0,
F50B1600027,mvs,DIT,2021-02-24,422863.43,422863.43,0.0,0.0,0,
F50P1600082,presidio,DIT,2020-11-18,412961.0,412961.0,0.0,0.0,0,
E00B9400063,sirius computer solutions,COMP,2019-05-08,411249.0,411249.0,0.0,0.0,0,
E00B9400015,fairfax imaging,COMP,2018-10-31,408482.0,408482.0,0.0,0.0,0,
D38B6400015,elections systems and software,ELECTLAW,2016-08-17,405363.0,405363.0,0.0,0.0,0,
J05B1600020,cubic transportation systems,DOT/MTA,2021-05-19,398392.0,398392.0,0.0,0.0,0,
Q00B7400084,morpho trust usa,PS,2017-04-26,395427.0,395427.0,0.0,0.0,0,
P00B2600036,medallia,MDL,2022-03-09,393800.0,393800.0,0.0,0.0,0,
E00B8400035,sas institute,COMP,2018-04-04,392245.0,392245.0,0.0,0.0,0,
R00B2600094,civic solutions group,EDUC,2022-08-10,392000.0,392000.0,0.0,0.0,0,
Q00B7400047,cross match technologies,PS/IT&CD,2017-02-08,384026.0,384026.0,0.0,0.0,0,
P222020,brown s enterprises d b a brown s communications,DOT/MPA,2022-12-21,383897.0,383897.0,0.0,0.0,0,
J05B0600018,gl,DOT/MTA,2020-07-22,382500.0,382500.0,0.0,0.0,0,
F50P3600007,environmental systems research institute,DIT,2022-10-26,375000.0,375000.0,0.0,0.0,0,
R00B0600035,canvas,EDUC,2021-03-10,370020.0,370020.0,0.0,0.0,1,4
F50P1600212,presidio networked solutions,DIT,2021-02-10,369375.63,369375.63,0.0,0.0,0,
J01P0600162,dsr,DOT,2021-04-07,369103.0,369103.0,0.0,0.0,0,
S00B9400009,agate software,HCD,2018-12-19,360490.0,360490.0,0.0,0.0,0,
R00B9400018,johns hopkins university center for technology in education,EDUC,2018-09-05,360000.0,360000.0,0.0,0.0,0,
J05B0600014,trackit,DOT/MTA,2020-05-06,359736.0,359736.0,0.0,0.0,0,
R15P6400118,digital video group,MPT,2016-01-27,355718.0,355718.0,0.0,0.0,0,
Q00B0600786,applied technology services,PS,2020-10-07,351000.0,351000.0,0.0,0.0,0,
J01P8400096,global public safety,DOT/MdTA,2018-03-28,338640.0,338640.0,0.0,0.0,0,
J04B2600021,fiserv solutions,DOT/MVA,2022-08-31,335733.0,335733.0,0.0,0.0,0,
S00B0600048,emphasys computer solutions,HCD,2020-01-08,335569.0,335569.0,0.0,0.0,0,
J02B1600006,iteris,DOT,2021-09-01,331500.0,331500.0,0.0,0.0,0,
K00B1600001,johnson mirmiran and thompson,DNR,2020-06-17,329467.0,329467.0,0.0,0.0,0,
J01B3400036,dk consulting,DOT,2020-12-02,312240.0,312240.0,0.0,0.0,0,
F50B1600021,blue collar objects,DIT,2020-12-16,311980.0,311980.0,0.0,0.0,0,
F50B7400001,tekskills,DIT,2016-06-22,309120.0,309120.0,0.0,0.0,0,
J01B8400013,processmap,DOT/MdTA,2018-12-19,305456.0,305456.0,0.0,0.0,0,
J04B2600007,ihs markit dba r l polk and,DOT/MVA,2022-08-31,302910.0,302910.0,0.0,0.0,0,
J05P2600043,dsr,DOT/MTA,2022-09-14,302670.0,302670.0,0.0,0.0,0,
S00B7400009,emphasys software,HCD,2016-10-19,300000.0,300000.0,0.0,0.0,0,
F50P2600133,environmental systems research institute,DIT,2021-10-20,300000.0,300000.0,0.0,0.0,0,
D40B1600001,spillman consulting,OFCPLAN,2021-04-07,299875.0,299875.0,0.0,0.0,0,
F50P1600145,dell approved,DIT,2020-10-07,299408.0,299408.0,0.0,0.0,0,
M00B8400589,collaborative fusion,MDH,2018-05-16,295627.0,295627.0,0.0,0.0,0,
D38B1600017,digital lantern,ELECTLAW,2022-04-27,292046.0,292046.0,0.0,0.0,0,
060B8400016,itslearning,DIT,2018-08-01,290000.0,290000.0,0.0,0.0,0,
K00B1600002,streams,DNR,2020-06-17,289467.0,289467.0,0.0,0.0,0,
BWI22006IT,knot technology solutions,DOT/MAA,2022-03-09,289169.0,289169.0,0.0,0.0,0,
Q00B8400042,morpho trust usa,PS,2017-11-15,287830.0,287830.0,0.0,0.0,0,
W00P9401671,cdwg,MSP,2019-07-03,284958.0,284958.0,0.0,0.0,0,
Q00B8400041,watch systems,PS/IT&CD,2018-07-19,282500.0,282500.0,0.0,0.0,0,
Q00B0600094,computer projects of illinois,PS,2020-02-19,277288.0,277288.0,0.0,0.0,0,
E00B9400021,pkware,COMP,2019-01-02,276597.0,276597.0,0.0,0.0,0,
D38B7400006,clear ballot group,ELECTLAW,2016-10-19,275000.0,275000.0,0.0,0.0,0,
Q00B8400027,computer projects of illinois,PS/IT&CD,2018-01-24,274373.0,274373.0,0.0,0.0,0,
D38B7400017,elections systems and software,ELECTLAW,2017-05-10,268510.0,268510.0,0.0,0.0,0,
J01B3600002,alxtel,DOT,2022-06-22,267460.0,267460.0,0.0,0.0,0,
J00B6400015,r l polk and,DOT/MVA,2016-05-11,267050.0,267050.0,0.0,0.0,0,
Q00B7400073,computer projects of illinois,PS,2017-01-04,261307.0,261307.0,0.0,0.0,0,
